CustomerID,Snapshot_Date,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,predicted_clv_12m,CLV_Quartile
13941,2011-01-31,59,1,1095.12,1,4,5,145,At Risk (High Value),Cluster 0,3166.447505653627,Q4 (High)
17850,2011-01-31,59,34,5391.21,1,5,5,155,At Risk (High Value),Cluster 2,2667.600054127935,Q4 (High)
16905,2011-01-31,58,1,254.4,1,2,2,122,Lost,Cluster 1,2335.7554863597725,Q4 (High)
13013,2011-01-31,58,2,1528.34,1,5,5,155,At Risk (High Value),Cluster 0,2786.242605224406,Q4 (High)
17809,2011-01-31,58,3,1251.5,1,5,5,155,At Risk (High Value),Cluster 0,4284.6681472013925,Q4 (High)
15502,2011-01-31,55,3,929.4,1,5,5,155,At Risk (High Value),Cluster 0,4835.351410558498,Q4 (High)
13880,2011-01-31,54,1,97.8,1,1,1,111,Lost,Cluster 1,2672.9849645118297,Q4 (High)
15838,2011-01-31,54,1,957.5,1,4,5,145,At Risk (High Value),Cluster 0,24910.18292786152,Q4 (High)
14866,2011-01-31,53,1,103.68,1,1,1,111,Lost,Cluster 1,10940.915571866166,Q4 (High)
16081,2011-01-31,53,1,157.6,1,1,1,111,Lost,Cluster 1,2228.77237540613,Q4 (High)
14766,2011-01-31,53,1,180.4,1,1,2,112,Lost,Cluster 1,2008.3463227343636,Q4 (High)
16717,2011-01-31,53,1,307.25,1,2,3,123,Lost,Cluster 1,2905.847896850874,Q4 (High)
15750,2011-01-31,53,2,340.52,1,4,3,143,At Risk (High Value),Cluster 1,1903.7902640775264,Q4 (High)
16722,2011-01-31,53,2,799.52,2,4,4,244,At Risk (High Value),Cluster 0,3533.987523942448,Q4 (High)
17706,2011-01-31,53,3,477.83,2,5,4,254,At Risk (High Value),Cluster 0,7859.7390043839005,Q4 (High)
18225,2011-01-31,52,1,30.0,2,1,1,211,Lost,Cluster 1,4467.32827753475,Q4 (High)
15288,2011-01-31,52,1,165.65,2,1,1,211,Lost,Cluster 1,1876.5178253529616,Q4 (High)
17530,2011-01-31,52,1,300.64,2,2,2,222,Lost,Cluster 1,1888.292088908426,Q4 (High)
13327,2011-01-31,52,2,745.0,2,4,4,244,At Risk (High Value),Cluster 0,2463.1731309140364,Q4 (High)
18102,2011-01-31,52,4,27834.61,2,5,5,255,At Risk (High Value),Cluster 2,177961.1420823724,Q4 (High)
16873,2011-01-31,51,1,2157.64,2,4,5,245,At Risk (High Value),Cluster 0,3957.601038997725,Q4 (High)
17696,2011-01-31,51,2,175.6,2,4,1,241,At Risk (High Value),Cluster 1,1902.77894513578,Q4 (High)
18065,2011-01-31,51,2,345.02,2,4,3,243,At Risk (High Value),Cluster 1,1839.7176047728892,Q4 (High)
16265,2011-01-31,51,2,840.81,2,4,5,245,At Risk (High Value),Cluster 0,3760.0392260833737,Q4 (High)
13448,2011-01-31,51,3,829.54,2,5,5,255,At Risk (High Value),Cluster 0,2509.2120778318704,Q4 (High)
14159,2011-01-31,49,1,189.92,2,2,2,222,Lost,Cluster 1,3703.7861345077695,Q4 (High)
15998,2011-01-31,49,1,863.39,2,4,5,245,At Risk (High Value),Cluster 0,1944.293696861148,Q4 (High)
16393,2011-01-31,49,2,291.55,2,4,2,242,At Risk (High Value),Cluster 1,2488.8434392276963,Q4 (High)
16011,2011-01-31,49,2,398.6,2,4,3,243,At Risk (High Value),Cluster 1,2715.8763058164654,Q4 (High)
17819,2011-01-31,49,2,980.12,2,4,5,245,At Risk (High Value),Cluster 0,2594.3389855784635,Q4 (High)
13269,2011-01-31,48,2,662.17,2,4,4,244,At Risk (High Value),Cluster 0,4078.7576171922874,Q4 (High)
17937,2011-01-31,48,2,2153.88,2,5,5,255,At Risk (High Value),Cluster 0,2499.3763891151784,Q4 (High)
15555,2011-01-31,48,3,988.57,2,5,5,255,At Risk (High Value),Cluster 0,3804.190275739923,Q4 (High)
18044,2011-01-31,47,1,74.25,2,1,1,211,Lost,Cluster 1,1883.1495237841168,Q4 (High)
16458,2011-01-31,47,1,193.9,2,2,2,222,Lost,Cluster 1,2895.1057682830105,Q4 (High)
16556,2011-01-31,47,1,310.85,2,2,3,223,Lost,Cluster 1,2579.2873597515036,Q4 (High)
15356,2011-01-31,47,2,338.92,2,4,3,243,At Risk (High Value),Cluster 1,2262.299190698378,Q4 (High)
16710,2011-01-31,47,2,519.92,2,4,4,244,At Risk (High Value),Cluster 0,1901.288278843733,Q4 (High)
16919,2011-01-31,47,2,540.01,2,4,4,244,At Risk (High Value),Cluster 0,2058.3747988419263,Q4 (High)
14057,2011-01-31,47,2,925.92,2,4,5,245,At Risk (High Value),Cluster 0,4396.041215747771,Q4 (High)
14961,2011-01-31,47,2,1182.7,2,4,5,245,At Risk (High Value),Cluster 0,4730.652989038932,Q4 (High)
16553,2011-01-31,47,2,1609.44,2,5,5,255,At Risk (High Value),Cluster 0,3344.3577726243952,Q4 (High)
14907,2011-01-31,47,3,960.69,2,5,5,255,At Risk (High Value),Cluster 0,2429.1195789380554,Q4 (High)
15514,2011-01-31,47,4,1824.71,2,5,5,255,At Risk (High Value),Cluster 0,2209.206506718402,Q4 (High)
17017,2011-01-31,47,5,2357.64,2,5,5,255,At Risk (High Value),Cluster 0,6176.419872444874,Q4 (High)
13124,2011-01-31,46,1,1256.32,2,4,5,245,At Risk (High Value),Cluster 0,2047.8459246591824,Q4 (High)
17346,2011-01-31,46,2,235.34,2,4,2,242,At Risk (High Value),Cluster 1,2200.2976743436534,Q4 (High)
13418,2011-01-31,46,5,1579.62,2,5,5,255,At Risk (High Value),Cluster 0,4429.443075861169,Q4 (High)
14309,2011-01-31,45,1,147.75,2,1,1,211,Lost,Cluster 1,2026.632473628063,Q4 (High)
13021,2011-01-31,45,1,157.35,2,1,1,211,Lost,Cluster 1,2205.5123951540086,Q4 (High)
16945,2011-01-31,45,1,279.85,2,2,2,222,Lost,Cluster 1,3475.4481279038914,Q4 (High)
16316,2011-01-31,45,1,308.22,2,2,3,223,Lost,Cluster 1,2315.042909413625,Q4 (High)
17659,2011-01-31,45,2,359.95,2,4,3,243,At Risk (High Value),Cluster 1,2387.988415618861,Q4 (High)
14825,2011-01-31,45,2,396.43,2,4,3,243,At Risk (High Value),Cluster 0,1878.2788790693055,Q4 (High)
15482,2011-01-31,45,2,548.44,2,4,4,244,At Risk (High Value),Cluster 0,8068.052354318614,Q4 (High)
16705,2011-01-31,45,2,1131.72,2,4,5,245,At Risk (High Value),Cluster 0,10197.61545355856,Q4 (High)
17857,2011-01-31,45,2,1340.7,2,5,5,255,At Risk (High Value),Cluster 0,18575.58410587993,Q4 (High)
13756,2011-01-31,45,3,1004.4,2,5,5,255,At Risk (High Value),Cluster 0,3836.6285417276417,Q4 (High)
18055,2011-01-31,45,3,1751.12,2,5,5,255,At Risk (High Value),Cluster 0,5026.647903654261,Q4 (High)
16210,2011-01-31,45,4,7000.64,2,5,5,255,At Risk (High Value),Cluster 0,14165.940546105814,Q4 (High)
14390,2011-02-28,87,1,223.7,1,2,2,122,Lost,Cluster 1,3556.18544826727,Q4 (High)
15752,2011-02-28,87,1,259.65,1,2,2,122,Lost,Cluster 1,2053.095363483037,Q4 (High)
16186,2011-02-28,87,1,307.68,1,2,2,122,Lost,Cluster 1,3065.443619058371,Q4 (High)
14388,2011-02-28,87,1,312.8,1,2,3,123,Lost,Cluster 1,2455.2360679694366,Q4 (High)
17850,2011-02-28,87,34,5391.21,1,5,5,155,At Risk (High Value),Cluster 2,2667.600054127935,Q4 (High)
16905,2011-02-28,86,1,254.4,1,2,2,122,Lost,Cluster 1,2335.7554863597725,Q4 (High)
13013,2011-02-28,86,2,1528.34,1,4,5,145,At Risk (High Value),Cluster 0,2786.242605224406,Q4 (High)
15502,2011-02-28,83,3,929.4,1,5,5,155,At Risk (High Value),Cluster 0,4835.351410558498,Q4 (High)
14866,2011-02-28,81,1,103.68,1,1,1,111,Lost,Cluster 1,10940.915571866166,Q4 (High)
16081,2011-02-28,81,1,157.6,1,1,1,111,Lost,Cluster 1,2228.77237540613,Q4 (High)
14766,2011-02-28,81,1,180.4,1,1,2,112,Lost,Cluster 1,2008.3463227343636,Q4 (High)
16717,2011-02-28,81,1,307.25,1,2,2,122,Lost,Cluster 1,2905.847896850874,Q4 (High)
15628,2011-02-28,81,1,319.18,1,2,3,123,Lost,Cluster 1,2245.452533597535,Q4 (High)
15750,2011-02-28,81,2,340.52,1,4,3,143,At Risk (High Value),Cluster 1,1903.7902640775264,Q4 (High)
15288,2011-02-28,80,1,165.65,1,1,1,111,Lost,Cluster 1,1876.5178253529616,Q4 (High)
16873,2011-02-28,79,1,2157.64,1,4,5,145,At Risk (High Value),Cluster 0,3957.601038997725,Q4 (High)
17696,2011-02-28,79,2,175.6,1,4,1,141,At Risk (High Value),Cluster 1,1902.77894513578,Q4 (High)
13448,2011-02-28,79,3,829.54,1,5,4,154,At Risk (High Value),Cluster 0,2509.2120778318704,Q4 (High)
14159,2011-02-28,77,1,189.92,1,2,2,122,Lost,Cluster 1,3703.7861345077695,Q4 (High)
13269,2011-02-28,76,2,662.17,1,4,4,144,At Risk (High Value),Cluster 0,4078.7576171922874,Q4 (High)
15555,2011-02-28,76,3,988.57,1,5,5,155,At Risk (High Value),Cluster 0,3804.190275739923,Q4 (High)
18044,2011-02-28,75,1,74.25,1,1,1,111,Lost,Cluster 1,1883.1495237841168,Q4 (High)
16710,2011-02-28,75,2,519.92,1,4,4,144,At Risk (High Value),Cluster 0,1901.288278843733,Q4 (High)
16919,2011-02-28,75,2,540.01,2,4,4,244,At Risk (High Value),Cluster 0,2058.3747988419263,Q4 (High)
14907,2011-02-28,75,3,960.69,2,5,5,255,At Risk (High Value),Cluster 0,2429.1195789380554,Q4 (High)
15514,2011-02-28,75,4,1824.71,2,5,5,255,At Risk (High Value),Cluster 0,2209.206506718402,Q4 (High)
13418,2011-02-28,74,5,1579.62,2,5,5,255,At Risk (High Value),Cluster 0,4429.443075861169,Q4 (High)
13021,2011-02-28,73,1,157.35,2,1,1,211,Lost,Cluster 1,2205.5123951540086,Q4 (High)
16316,2011-02-28,73,1,308.22,2,2,2,222,Lost,Cluster 1,2315.042909413625,Q4 (High)
15482,2011-02-28,73,2,548.44,2,4,4,244,At Risk (High Value),Cluster 0,8068.052354318614,Q4 (High)
13756,2011-02-28,73,3,1004.4,2,5,5,255,At Risk (High Value),Cluster 0,3836.6285417276417,Q4 (High)
14032,2011-02-28,70,2,619.42,2,4,4,244,At Risk (High Value),Cluster 0,2354.141784202059,Q4 (High)
13027,2011-02-28,69,1,1440.0,2,4,5,245,At Risk (High Value),Cluster 0,4416.536687053772,Q4 (High)
17069,2011-02-28,69,2,583.2,2,4,4,244,At Risk (High Value),Cluster 0,2111.269040806558,Q4 (High)
17340,2011-02-28,69,2,4360.39,2,4,5,245,At Risk (High Value),Cluster 0,7471.157241940485,Q4 (High)
17211,2011-02-28,68,3,779.71,2,5,4,254,At Risk (High Value),Cluster 0,1846.8935290651484,Q4 (High)
14732,2011-02-28,54,1,203.1,2,2,2,222,Lost,Cluster 1,2339.4874365896226,Q4 (High)
14221,2011-02-28,54,1,312.95,2,2,3,223,Lost,Cluster 1,2803.7716060206026,Q4 (High)
16241,2011-02-28,54,2,436.38,2,4,3,243,At Risk (High Value),Cluster 0,2078.6123908051936,Q4 (High)
18097,2011-02-28,54,2,657.18,2,4,4,244,At Risk (High Value),Cluster 0,2174.1769888303743,Q4 (High)
16532,2011-02-28,53,1,1910.4,2,4,5,245,At Risk (High Value),Cluster 0,3840.796414044864,Q4 (High)
14739,2011-02-28,53,2,943.44,2,4,5,245,At Risk (High Value),Cluster 0,2675.1917377219847,Q4 (High)
15034,2011-02-28,53,2,1403.85,2,4,5,245,At Risk (High Value),Cluster 0,2962.9831952915974,Q4 (High)
13225,2011-02-28,53,2,2470.44,2,4,5,245,At Risk (High Value),Cluster 0,4239.117360684399,Q4 (High)
15271,2011-02-28,52,2,364.85,2,4,3,243,At Risk (High Value),Cluster 1,2164.188964534491,Q4 (High)
14505,2011-02-28,52,2,1355.66,2,4,5,245,At Risk (High Value),Cluster 0,3936.333464923253,Q4 (High)
13680,2011-02-28,52,2,2391.59,2,4,5,245,At Risk (High Value),Cluster 0,2482.160554617943,Q4 (High)
13599,2011-02-28,52,3,721.98,2,5,4,254,At Risk (High Value),Cluster 0,3977.5761430034977,Q4 (High)
13426,2011-02-28,51,2,639.43,2,4,4,244,At Risk (High Value),Cluster 0,2861.025640119726,Q4 (High)
16549,2011-02-28,49,1,119.49,2,1,1,211,Lost,Cluster 1,3491.3387765855887,Q4 (High)
14395,2011-02-28,49,2,689.36,2,4,4,244,At Risk (High Value),Cluster 0,2667.153950151698,Q4 (High)
18260,2011-02-28,49,2,787.77,2,4,4,244,At Risk (High Value),Cluster 0,2104.4631519237305,Q4 (High)
13758,2011-02-28,49,3,1141.25,2,5,5,255,At Risk (High Value),Cluster 0,2380.1481668516208,Q4 (High)
14800,2011-02-28,49,3,1753.64,2,5,5,255,At Risk (High Value),Cluster 0,3162.5072380392053,Q4 (High)
17739,2011-02-28,48,2,682.59,2,4,4,244,At Risk (High Value),Cluster 0,2158.5924895103944,Q4 (High)
17365,2011-02-28,47,2,742.66,2,4,4,244,At Risk (High Value),Cluster 0,3565.528200208053,Q4 (High)
15749,2011-02-28,47,2,22998.4,2,4,5,245,At Risk (High Value),Cluster 0,15027.532060643054,Q4 (High)
17450,2011-02-28,47,5,20649.04,2,5,5,255,At Risk (High Value),Cluster 2,146594.98194383507,Q4 (High)
15727,2011-02-28,46,2,2071.7,2,4,5,245,At Risk (High Value),Cluster 0,3061.157266186707,Q4 (High)
13267,2011-02-28,46,3,933.97,2,5,5,255,At Risk (High Value),Cluster 0,3515.966292576476,Q4 (High)
15694,2011-02-28,45,3,1230.12,2,5,5,255,At Risk (High Value),Cluster 0,4913.361444028433,Q4 (High)
18092,2011-02-28,45,4,3111.84,2,5,5,255,At Risk (High Value),Cluster 0,6005.277702427005,Q4 (High)
14329,2011-02-28,44,1,1547.58,2,4,5,245,At Risk (High Value),Cluster 0,3090.039392040948,Q4 (High)
17402,2011-02-28,44,3,571.87,2,5,4,254,At Risk (High Value),Cluster 0,1943.628716791481,Q4 (High)
17581,2011-02-28,44,3,1235.73,2,5,5,255,At Risk (High Value),Cluster 0,7855.505147204291,Q4 (High)
13700,2011-02-28,42,2,139.52,2,4,1,241,At Risk (High Value),Cluster 1,2094.7835231617423,Q4 (High)
13527,2011-02-28,41,1,110.45,2,1,1,211,Lost,Cluster 1,2082.5705509365444,Q4 (High)
13209,2011-02-28,41,2,430.2,2,4,3,243,At Risk (High Value),Cluster 0,4427.626709697586,Q4 (High)
13769,2011-02-28,41,2,626.32,2,4,4,244,At Risk (High Value),Cluster 0,2183.681941636603,Q4 (High)
14525,2011-02-28,41,2,726.95,2,4,4,244,At Risk (High Value),Cluster 0,3170.1038752554755,Q4 (High)
16670,2011-02-28,41,3,778.51,2,5,4,254,At Risk (High Value),Cluster 0,3160.6403923691123,Q4 (High)
17690,2011-02-28,41,5,1570.65,2,5,5,255,At Risk (High Value),Cluster 0,3574.9159313499317,Q4 (High)
14135,2011-02-28,41,7,1811.91,2,5,5,255,At Risk (High Value),Cluster 0,3477.1923855541886,Q4 (High)
13263,2011-02-28,40,1,141.66,2,1,1,211,Lost,Cluster 1,6554.72099432363,Q4 (High)
14390,2011-03-31,118,1,223.7,1,2,2,122,Lost,Cluster 1,3556.18544826727,Q4 (High)
16186,2011-03-31,118,1,307.68,1,2,2,122,Lost,Cluster 1,3065.443619058371,Q4 (High)
17850,2011-03-31,118,34,5391.21,1,5,5,155,At Risk (High Value),Cluster 2,2667.600054127935,Q4 (High)
13013,2011-03-31,117,2,1528.34,1,4,5,145,At Risk (High Value),Cluster 0,2786.242605224406,Q4 (High)
14866,2011-03-31,112,1,103.68,1,1,1,111,Lost,Cluster 1,10940.915571866166,Q4 (High)
16717,2011-03-31,112,1,307.25,1,2,2,122,Lost,Cluster 1,2905.847896850874,Q4 (High)
13448,2011-03-31,110,3,829.54,1,5,4,154,At Risk (High Value),Cluster 0,2509.2120778318704,Q4 (High)
13269,2011-03-31,107,2,662.17,1,4,4,144,At Risk (High Value),Cluster 0,4078.7576171922874,Q4 (High)
15555,2011-03-31,107,3,988.57,1,5,4,154,At Risk (High Value),Cluster 0,3804.190275739923,Q4 (High)
16919,2011-03-31,106,2,540.01,1,4,4,144,At Risk (High Value),Cluster 0,2058.3747988419263,Q4 (High)
14907,2011-03-31,106,3,960.69,1,5,4,154,At Risk (High Value),Cluster 0,2429.1195789380554,Q4 (High)
13418,2011-03-31,105,5,1579.62,1,5,5,155,At Risk (High Value),Cluster 0,4429.443075861169,Q4 (High)
15482,2011-03-31,104,2,548.44,1,4,4,144,At Risk (High Value),Cluster 0,8068.052354318614,Q4 (High)
13756,2011-03-31,104,3,1004.4,1,5,5,155,At Risk (High Value),Cluster 0,3836.6285417276417,Q4 (High)
17069,2011-03-31,100,2,583.2,1,4,4,144,At Risk (High Value),Cluster 0,2111.269040806558,Q4 (High)
17340,2011-03-31,100,2,4360.39,1,4,5,145,At Risk (High Value),Cluster 0,7471.157241940485,Q4 (High)
14221,2011-03-31,85,1,312.95,1,2,3,123,Lost,Cluster 1,2803.7716060206026,Q4 (High)
16241,2011-03-31,85,2,436.38,1,4,3,143,At Risk (High Value),Cluster 1,2078.6123908051936,Q4 (High)
18097,2011-03-31,85,2,657.18,1,4,4,144,At Risk (High Value),Cluster 0,2174.1769888303743,Q4 (High)
14739,2011-03-31,84,2,943.44,1,4,4,144,At Risk (High Value),Cluster 0,2675.1917377219847,Q4 (High)
15271,2011-03-31,83,2,364.85,1,4,3,143,At Risk (High Value),Cluster 1,2164.188964534491,Q4 (High)
13680,2011-03-31,83,2,2391.59,1,4,5,145,At Risk (High Value),Cluster 0,2482.160554617943,Q4 (High)
16549,2011-03-31,80,1,119.49,1,1,1,111,Lost,Cluster 1,3491.3387765855887,Q4 (High)
13758,2011-03-31,80,3,1141.25,2,5,5,255,At Risk (High Value),Cluster 0,2380.1481668516208,Q4 (High)
17739,2011-03-31,79,2,682.59,2,4,4,244,At Risk (High Value),Cluster 0,2158.5924895103944,Q4 (High)
15749,2011-03-31,78,2,22998.4,2,4,5,245,At Risk (High Value),Cluster 0,15027.532060643054,Q4 (High)
15727,2011-03-31,77,2,2071.7,2,4,5,245,At Risk (High Value),Cluster 0,3061.157266186707,Q4 (High)
18092,2011-03-31,76,4,3111.84,2,5,5,255,At Risk (High Value),Cluster 0,6005.277702427005,Q4 (High)
14175,2011-03-31,75,1,322.58,2,2,3,223,Lost,Cluster 1,2497.0299589952774,Q4 (High)
17402,2011-03-31,75,3,571.87,2,4,4,244,At Risk (High Value),Cluster 0,1943.628716791481,Q4 (High)
13527,2011-03-31,72,1,110.45,2,1,1,211,Lost,Cluster 1,2082.5705509365444,Q4 (High)
13209,2011-03-31,72,2,430.2,2,4,3,243,At Risk (High Value),Cluster 1,4427.626709697586,Q4 (High)
14135,2011-03-31,72,7,1811.91,2,5,5,255,At Risk (High Value),Cluster 0,3477.1923855541886,Q4 (High)
17091,2011-03-31,70,2,888.15,2,4,4,244,At Risk (High Value),Cluster 0,2927.000581214616,Q4 (High)
14307,2011-03-31,70,2,1270.56,2,4,5,245,At Risk (High Value),Cluster 0,1891.7270198579831,Q4 (High)
14062,2011-03-31,69,4,3096.39,2,5,5,255,At Risk (High Value),Cluster 0,7475.405302275965,Q4 (High)
14341,2011-03-31,64,2,335.63,2,4,3,243,At Risk (High Value),Cluster 1,1855.8953884178964,Q4 (High)
13198,2011-03-31,64,2,1184.74,2,4,5,245,At Risk (High Value),Cluster 0,2560.4886603099626,Q4 (High)
18077,2011-03-31,64,3,711.46,2,5,4,254,At Risk (High Value),Cluster 0,2136.2665589216954,Q4 (High)
14299,2011-03-31,64,4,1565.94,2,5,5,255,At Risk (High Value),Cluster 0,2980.4140753727434,Q4 (High)
17213,2011-03-31,62,3,936.95,2,5,4,254,At Risk (High Value),Cluster 0,2134.3966407586167,Q4 (High)
15365,2011-03-31,61,1,208.61,2,2,2,222,Lost,Cluster 1,2049.915324971316,Q4 (High)
13141,2011-03-31,61,2,524.57,2,4,4,244,At Risk (High Value),Cluster 0,1857.6455352939608,Q4 (High)
14401,2011-03-31,61,2,552.12,2,4,4,244,At Risk (High Value),Cluster 0,3268.9001644842942,Q4 (High)
15527,2011-03-31,61,2,580.3,2,4,4,244,At Risk (High Value),Cluster 0,2035.697588202324,Q4 (High)
17920,2011-03-31,61,3,822.91,2,5,4,254,At Risk (High Value),Cluster 0,3077.838140257707,Q4 (High)
16326,2011-03-31,59,2,425.18,2,4,3,243,At Risk (High Value),Cluster 1,2637.4236103163244,Q4 (High)
14040,2011-03-31,59,3,914.05,2,5,4,254,At Risk (High Value),Cluster 0,3042.7775228174187,Q4 (High)
18245,2011-03-31,58,2,804.91,2,4,4,244,At Risk (High Value),Cluster 0,1965.4237450231485,Q4 (High)
